Broad,Narrow,Keyword,Role,Severity,Score
Software,ERP,SAP,Accountant,High,95
Software,Accounting,TallyPrime,Accountant,High,95
Software,Accounting,QuickBooks,Accountant,High,90
Software,Spreadsheet,Microsoft Excel,Accountant,High,98
Software,Spreadsheet,Google Sheets,Accountant,High,90
Software,Tax Filing,Income Tax Portal,Accountant,High,95
Software,Auditing,Audit software (e.g., IDEA, ACL),Accountant,High,90
Software,Payroll,Payroll software (e.g., Zoho Payroll),Accountant,High,85
Communication,Email,Outlook,Accountant,High,95
Communication,Collaboration,Microsoft Teams,Accountant,High,90
Communication,Video Conferencing,Zoom,Accountant,Medium,80
Documentation,Office Suite,Microsoft Word,Accountant,High,90
Documentation,Office Suite,Google Docs,Accountant,High,85
Documentation,Presentation,Microsoft PowerPoint,Accountant,Medium,75
Documentation,File Management,SharePoint,Accountant,High,90
Website,Banking,Corporate Banking Portals,Accountant,High,98
Website,Regulatory,MCA Portal,Accountant,High,95
Website,Regulatory,GST Portal,Accountant,High,95
Tools,PDF Editor,Adobe Acrobat Pro,Accountant,High,90
Tools,OCR Software,OCR for invoices,Accountant,Medium,70
Workflow,Reporting,Financial reporting,Accountant,High,95
Workflow,Reconciliation,Bank reconciliation,Accountant,High,95
Workflow,Auditing,Internal audits,Accountant,High,90
Workflow,Compliance,Tax compliance checks,Accountant,High,98
